Epoch,Phase,Train_Total_Loss,Train_Main_OHEM_Loss,Train_Aux_Loss,Validation_Loss,Train_mIoU,Validation_mIoU,Train_mAcc,Validation_mAcc,Train_aAcc,Validation_aAcc,Train_Precision_Macro,Validation_Precision_Macro,Train_Recall_Macro,Validation_Recall_Macro,Train_F1_Macro,Validation_F1_Macro,Train_Precision_Micro,Validation_Precision_Micro,Train_Recall_Micro,Validation_Recall_Micro,Train_F1_Micro,Validation_F1_Micro,Learning_Rate,AMP_Scale,AMP_Overflow_Skips,Epoch_Time_sec,Cumulative_Training_Time
131,train/val,1.142222728094329,0.8705117926001549,0.679277320270953,0.28376858381575853,60.82153715810743,60.70826435188231,69.96516526096865,70.03780694729545,88.84057361479482,90.61230823501518,76.78156271333329,76.63091209717287,69.96516526096865,70.03780694729545,72.15908880865683,71.55197055410544,88.84057361479482,90.61230823501518,88.84057361479482,90.61230823501518,88.84057361479482,90.61230823501518,0.0007529108392615587,32768.0,0,17.171571731567383,0:37:48
132,train/val,1.161733268395714,0.8873730927057888,0.6859004267531892,0.28775276779426257,60.08508334978829,60.61190906337456,69.7761174715999,69.7002890848806,88.64657006922229,90.43665191298086,76.22543214021053,76.41715630789574,69.7761174715999,69.7002890848806,71.6128927925277,71.69813160948242,88.64657006922229,90.43665191298086,88.64657006922229,90.43665191298086,88.64657006922229,90.43665191298086,0.0007509914906339681,32768.0,0,17.15915560722351,0:38:05
133,train/val,1.1151861746026122,0.8682371322875437,0.6173725960695226,0.3508989407074652,61.441876585952684,56.48296127831939,70.36899040747848,67.36578830150646,89.59204940023773,88.54836350339626,77.68127914892827,71.34121650720468,70.36899040747848,67.36578830150646,72.47823250195053,68.14741685510525,89.59204940023773,88.54836350339626,89.59204940023773,88.54836350339626,89.59204940023773,88.54836350339626,0.0007490715968085615,32768.0,0,17.372851848602295,0:38:22
134,train/val,1.1737115937082663,0.9025418661210848,0.6779243058484533,0.28559480098371665,59.37542248015711,61.13129159960189,68.96106069706674,70.5503941114914,88.48914755901555,90.56732134340268,75.05518790324032,75.74081654963585,68.96106069706674,70.5503941114914,70.93205226847337,72.15562313424554,88.48914755901555,90.56732134340268,88.48914755901555,90.56732134340268,88.48914755901555,90.56732134340268,0.0007472131143320692,16384.0,1,17.137624502182007,0:38:39
135,train/val,1.1922751856238945,0.9110808456721513,0.7029858338444129,0.302471695594446,59.48111371942579,59.50751023987202,68.82163115203149,69.1113962942173,88.33097697879165,90.06774575993097,75.76863356612594,74.51634216375737,68.82163115203149,69.1113962942173,70.9399225745512,70.68409494877834,88.33097697879165,90.06774575993097,88.33097697879165,90.06774575993097,88.33097697879165,90.06774575993097,0.0007452921427001654,16384.0,0,17.342026948928833,0:38:57
136,train/val,1.167982227128485,0.8919344288499459,0.6901194861401682,0.2753101407376922,60.180982424553356,61.50214746438003,69.7088101350391,70.57051518767466,88.73214926325694,90.873338671934,75.9785175265249,76.85150404491232,69.7088101350391,70.57051518767466,71.65803609959973,72.42829817841387,88.73214926325694,90.873338671934,88.73214926325694,90.873338671934,88.73214926325696,90.873338671934,0.00074337062077042,16384.0,0,17.147108793258667,0:39:14
137,train/val,1.1308809146285057,0.8622832985027976,0.6714940224976643,0.38798447381636575,60.95575900896751,55.42680916240638,70.07494566646983,66.53091978166165,89.26737043561718,87.70835759885746,76.94123113682151,71.40964484626816,70.07494566646983,66.53091978166165,72.16094196729291,67.43792672976251,89.26737043561718,87.70835759885746,89.26737043561718,87.70835759885746,89.26737043561718,87.70835759885746,0.0007414485468037773,16384.0,0,17.344719886779785,0:39:31
138,train/val,1.124321338923081,0.8597201876666235,0.6615028685849645,0.2864291379768162,60.78739521706662,60.21816632373874,69.93020224866088,69.74717812757099,89.07160807954624,90.44372786956396,76.83958807644461,76.05594084499145,69.93020224866088,69.74717812757099,72.04003688797832,71.25975590859932,89.07160807954624,90.44372786956396,89.07160807954624,90.44372786956396,89.07160807954624,90.44372786956397,0.0007395259190506576,16384.0,0,17.299157857894897,0:39:48
139,train/val,1.170182721770328,0.8852163718446441,0.712415861694709,0.2807079588534311,60.41640572260762,61.5114000466279,70.07553985388246,70.93565653884387,88.6925489123228,90.7803859287812,76.15156529028425,76.70181743212147,70.07553985388246,70.93565653884387,71.8426991651917,72.4308833310633,88.6925489123228,90.7803859287812,88.6925489123228,90.7803859287812,88.6925489123228,90.7803859287812,0.0007376027357508651,16384.0,0,17.39981722831726,0:40:06
140,train/val,1.147779042630092,0.8774939905042234,0.6757126197866772,0.28108893723602785,60.8408484361587,61.60289479786935,70.19678600762076,70.5059021383357,88.95709937762764,90.75906167655539,76.65955276962457,77.0900849075431,70.19678600762076,70.5059021383357,72.16386948858185,72.63854357563987,88.95709937762764,90.75906167655539,88.95709937762764,90.75906167655539,88.95709937762764,90.75906167655539,0.0007356789951334929,16384.0,0,17.26853847503662,0:40:23
