epoch,phase,train_total_loss,train_main_loss,train_aux_loss,train_miou,train_macc,train_aacc,val_total_loss,val_miou,val_macc,val_aacc,learning_rate,epoch_time_sec,total_training_time_str,train_Precision_Macro,train_Recall_Macro,train_F1_Macro,train_Precision_Micro,train_Recall_Micro,train_F1_Micro,val_Precision_Macro,val_Recall_Macro,val_F1_Macro,val_Precision_Micro,val_Recall_Micro,val_F1_Micro,amp_overflow_skips,amp_scale
390,train/val,0.9160774706498436,0.7520004572427791,0.4101925237995127,72.26841628008022,80.3825284976265,92.66512795439755,0.203773693627743,70.17907406936126,78.83774554277636,93.1343766711702,0.0002292936625074516,17.423755407333374,1:52:32,85.09726502706623,80.3825284976265,82.21858654503724,92.66512795439755,92.66512795439755,92.66512795439755,83.36670034996828,78.83774554277636,80.50180428647653,93.1343766711702,93.1343766711702,93.1343766711702,0,16384.0
391,train/val,0.9046675650321919,0.7467120406420334,0.3948888024720161,72.34668265411976,80.39962570391599,92.8193480251658,0.20324776746906437,70.88781306839554,79.72446469187012,93.20513327138659,0.00022710239200803996,17.301701307296753,1:52:49,85.07798201749314,80.39962570391599,82.12880635766804,92.8193480251658,92.8193480251658,92.8193480251658,83.29041177872493,79.72446469187012,81.17242779932585,93.20513327138659,93.20513327138659,93.20513327138659,0,16384.0
392,train/val,0.9128652380212493,0.7551964615350184,0.394171926152447,71.60694833660851,79.8917978429015,92.78516209278558,0.3301016909499227,61.5355658712505,73.70608359798861,89.6149482993275,0.00022490876970238048,17.522369623184204,1:53:07,84.51012206523954,79.8917978429015,81.64338220667219,92.78516209278558,92.78516209278558,92.78516209278558,75.37491381121198,73.70608359798861,73.59395921103729,89.6149482993275,89.6149482993275,89.6149482993275,0,16384.0
393,train/val,0.9188715491605841,0.7585120557442955,0.40089873030133866,72.41519533931664,80.286723733537,92.71243261189286,0.21370869672616158,69.45383783411026,78.23250481647764,92.89737364424145,0.00022271276752359076,17.22338891029358,1:53:24,85.43118449759247,80.286723733537,82.28655989128791,92.71243261189286,92.71243261189286,92.71243261189286,83.11459903431566,78.23250481647764,79.8977433194905,92.89737364424145,92.89737364424145,92.89737364424145,0,16384.0
394,train/val,0.9038888449254243,0.7492718000126921,0.38654260475026525,72.31911087876557,80.41573316060634,92.90918966970996,0.20222281553565413,71.12414355976564,79.71062332374918,93.17009305134985,0.00022051435675830226,17.27947235107422,1:53:41,85.05858392306766,80.41573316060634,82.2302155677416,92.90918966970996,92.90918966970996,92.90918966970996,83.7127946313341,79.71062332374918,81.37013414417933,93.17009305134985,93.17009305134985,93.17009305134985,0,16384.0
395,train/val,0.9131703678032626,0.7528048825004826,0.40091370945067506,72.72337431324473,80.52804107720041,92.8561950401491,0.2127359811409891,69.70451996607594,78.90506846323878,92.96512311119075,0.0002183135080244339,17.491215229034424,1:53:59,85.61175914206146,80.52804107720041,82.46477287392688,92.8561950401491,92.8561950401491,92.8561950401491,82.10141109740164,78.90506846323878,80.10459065427487,92.96512311119075,92.96512311119075,92.96512311119076,0,16384.0
396,train/val,0.9017301652094591,0.7461933367278265,0.3888420623767635,72.09901293311273,80.15929732694104,92.75318202246234,0.1996258409093049,70.71458049944678,79.01034006561449,93.27190556830482,0.00021611019124794453,17.33309531211853,1:54:16,85.00644469186372,80.15929732694104,81.99407341739185,92.75318202246234,92.75318202246234,92.75318202246235,84.08769468818068,79.01034006561449,80.92654925076825,93.27190556830482,93.27190556830482,93.27190556830482,0,16384.0
397,train/val,0.9206450643098872,0.7561809859522011,0.4111601893344651,72.16351897162306,80.49291286703425,92.61644463790181,0.21047096120167894,70.00896739660516,78.31145242779768,92.96491700097175,0.00021390437563850273,17.2262122631073,1:54:33,84.74021899339132,80.49291286703425,82.16753230059372,92.61644463790181,92.61644463790181,92.61644463790181,83.81198805060492,78.31145242779768,80.42790556665959,92.96491700097175,92.96491700097175,92.96491700097175,0,16384.0
398,train/val,0.915322089648765,0.7611674112470254,0.38538669041641377,71.8674939339297,79.90064744351668,92.8408387173461,0.19628440166296102,71.0153195927402,79.32329522072486,93.34119270645627,0.00021169602966401431,17.200764179229736,1:54:50,84.87121955744038,79.90064744351668,81.83249992160431,92.8408387173461,92.8408387173461,92.8408387173461,84.17826164015875,79.32329522072486,81.19532576390966,93.34119270645627,93.34119270645627,93.34119270645627,0,16384.0
399,train/val,0.9262603336702222,0.7666347817234371,0.3990638716875211,71.81580959741815,79.8338524541299,92.4913830567841,0.20856839590607276,69.63128803818324,78.2372394887189,92.96604393454325,0.00020948512102393543,17.332520961761475,1:55:08,85.2328682021951,79.8338524541299,81.84069561685328,92.4913830567841,92.4913830567841,92.4913830567841,83.41112464741654,78.2372394887189,80.05598627962418,92.96604393454325,92.96604393454325,92.96604393454325,0,16384.0
