epoch,phase,train_total_loss,train_seg_loss,train_detail_loss,train_epnet_loss,train_miou,train_macc,train_aacc,val_total_loss,val_miou,val_macc,val_aacc,learning_rate,epoch_time_sec,total_training_time_str,train_Precision_Macro,train_Recall_Macro,train_F1_Macro,train_Precision_Micro,train_Recall_Micro,train_F1_Micro,val_Precision_Macro,val_Recall_Macro,val_F1_Macro,val_Precision_Micro,val_Recall_Micro,val_F1_Micro
43,train/val,2.3576654040295146,1.602163437915885,0.7555019784232845,0.0,43.82955774451874,60.634920947607796,61.227748278118966,1.0968353962898254,46.87431488609375,65.36411597806556,71.51353741238087,0.00033538878447778416,30.54325580596924,0:21:50,54.73734471970116,60.634920947607796,56.47678212520923,75.95187420530203,75.95187420530203,75.95187420530203,55.95008684794733,65.36411597806556,58.19978073105221,83.39112876021714,83.39112876021714,83.39112876021716
44,train/val,2.3321989023167156,1.5795100681159808,0.7526888400316238,0.0,47.31032264403092,61.49161113119792,71.0523447327049,1.0346117532253265,50.079710805116854,66.3008206979975,78.16946952715621,0.0003314660980850309,30.508742809295654,0:22:21,57.85456742494557,61.49161113119792,58.982879438943094,83.07672700276036,83.07672700276036,83.07672700276036,58.318809602538344,66.3008206979975,60.98918872844449,87.74732251783664,87.74732251783664,87.74732251783665
45,train/val,2.34444601898608,1.593872992888741,0.7505730345197346,0.0,46.849471758495156,60.53009747370533,70.39084870194678,1.0088610076904296,49.14054976142902,66.28448339007437,78.66766329602515,0.0003275382467090493,30.5659921169281,0:22:51,57.90861405981701,60.53009747370533,58.86977143450968,82.62280426230724,82.62280426230724,82.62280426230724,56.66179778751912,66.28448339007437,59.6660107462101,88.06032590876256,88.06032590876256,88.06032590876256
46,train/val,2.2555617158827572,1.5145128434119017,0.7410488698793494,0.0,47.78750078327917,62.149288794982695,69.03456876465437,0.9997728842496872,50.06146077545451,65.79309766815047,77.32011121207023,0.0003236051545417615,30.152472496032715,0:23:22,58.892943618663864,62.149288794982695,59.837065937912605,81.6810067540335,81.6810067540335,81.6810067540335,59.87941516061286,65.79309766815047,61.0526246803499,87.20963536910644,87.20963536910644,87.20963536910644
47,train/val,2.315437718578007,1.5684834291105685,0.7469542927068212,0.0,46.04206841577737,60.34793765903227,68.38200899176266,1.0054171085357666,47.18391018515256,67.18641447123791,74.47497577016564,0.00031966674362213406,29.94780921936035,0:23:51,57.40173033219076,60.34793765903227,58.261740135038266,81.22246480039081,81.22246480039081,81.22246480039081,54.32860241423408,67.18641447123791,58.45652038653739,85.37038098606287,85.37038098606287,85.37038098606287
48,train/val,2.3248437720796336,1.5692788647568745,0.7555649099142655,0.0,47.15577021341289,63.19634151428294,68.01959094344724,0.9933033579587937,45.791491485601895,57.80334159307107,71.61854258124681,0.00031572293374467766,30.076143741607666,0:24:22,57.42562546133112,63.19634151428294,59.238740623208855,80.96626180496007,80.96626180496007,80.96626180496007,62.17729355818583,57.80334159307107,57.20316660936216,83.46247614513042,83.46247614513042,83.46247614513044
49,train/val,2.3221703547498453,1.5794861640619196,0.7426841861527899,0.0,47.432250563485276,60.536070220626605,70.90192500868078,0.9729607939720154,46.17152608469237,58.727034075841814,75.4496027397694,0.0003117736423627317,30.238364696502686,0:24:52,58.660527917002526,60.536070220626605,59.351769756298054,82.9738167139772,82.9738167139772,82.97381671397719,59.54574384310247,58.727034075841814,57.394913056773376,86.00715141165394,86.00715141165394,86.00715141165394
50,train/val,2.3105155346186264,1.556717644567075,0.7537978829249091,0.0,46.970590666708546,62.04315462674518,67.6067105409419,1.0016060417890549,46.10436174620927,67.25039370803907,69.69314361654271,0.00030781878448615926,30.570032835006714,0:25:22,57.80018542549198,62.04315462674518,59.12987973808493,80.6730354921289,80.6730354921289,80.6730354921289,54.120514217253515,67.25039370803907,58.05371502467961,82.14019981152451,82.14019981152451,82.14019981152451
51,train/val,3.2853688157123067,1.5251967038797296,0.748269119988317,1.0119029892527538,46.25742244572567,61.44177771350585,65.72304685052161,0.9550903326272965,46.6890071081447,64.5410137516447,72.48946429463278,0.0003038582725730446,91.58059787750244,0:26:54,57.53461948865698,61.44177771350585,58.85885364464761,79.31672522265693,79.31672522265693,79.31672522265693,55.43088738202315,64.5410137516447,57.584278317842866,84.05088924250127,84.05088924250127,84.05088924250127
52,train/val,3.3045443374177683,1.561324084582536,0.751763087251912,0.9914571565130482,46.04208076108796,60.73277526325883,69.25197295794902,0.9593184751272201,43.14877383235787,55.850521230014316,70.8675796431376,0.0002998920164149494,91.09534573554993,0:28:25,57.34208230513696,60.73277526325883,58.086387626700564,81.83298752464742,81.83298752464742,81.83298752464742,57.56913678255642,55.850521230014316,55.28768177858478,82.95029377854688,82.95029377854688,82.95029377854688
