Epoch,Phase,Train_Total_Loss,Train_Main_OHEM_Loss,Train_Aux_Loss,Validation_Loss,Train_mIoU,Validation_mIoU,Train_mAcc,Validation_mAcc,Train_aAcc,Validation_aAcc,Train_Precision_Macro,Validation_Precision_Macro,Train_Recall_Macro,Validation_Recall_Macro,Train_F1_Macro,Validation_F1_Macro,Train_Precision_Micro,Validation_Precision_Micro,Train_Recall_Micro,Validation_Recall_Micro,Train_F1_Micro,Validation_F1_Micro,Learning_Rate,Epoch_Time_sec,Cumulative_Training_Time
11,train/val,1.5980584532022477,1.2158991321921349,0.9553982704877854,0.4910006014332986,28.487241656577478,28.43992035980611,34.02170388924397,32.83417852047473,81.96258369530204,84.50477923386906,47.83595734126969,51.25134062465225,34.02170388924397,32.83417852047473,42.527602268352084,50.5723037029727,81.96258369530204,84.50477923386906,81.96258369530204,84.50477923386906,81.96258369530204,84.50477923386907,0.0009898333785206364,7.597254991531372,0:01:22
12,train/val,1.5786288186907769,1.1643105655908585,1.0357956022024155,0.4584098251779696,30.10592578234838,30.290742486105167,35.874847449080356,35.0577642774034,82.31668474652696,85.48781006047398,52.015397938777994,61.63487676118302,35.874847449080356,35.0577642774034,45.82860047289781,54.01069626438709,82.31668474652696,85.48781006047398,82.31668474652696,85.48781006047398,82.31668474652697,85.48781006047396,0.000988902521562286,7.562750339508057,0:01:30
13,train/val,1.5420585066080092,1.1457958772778511,0.9906565129756928,0.4533170090438015,30.19433008712048,31.27872438184818,36.263894128920334,36.438115076954695,81.70050876103356,85.66830662324467,49.93358592546486,55.79597937065306,36.263894128920334,36.438115076954695,45.775224169838864,56.03843495205587,81.70050876103356,85.66830662324467,81.70050876103356,85.66830662324467,81.70050876103356,85.66830662324467,0.0009879715672361249,7.528242826461792,0:01:38
14,train/val,1.5630793452262879,1.1634475886821747,0.9990793466567993,0.47182869409849193,33.83003074699214,31.091129597434957,40.008236342617565,36.91381158607553,82.51318355969505,85.33758210832191,56.8958928877298,51.82374573389759,40.008236342617565,36.91381158607553,48.761213278798046,51.70270768005213,82.51318355969505,85.33758210832191,82.51318355969505,85.33758210832191,82.51318355969505,85.33758210832191,0.0009870405154300036,7.645652532577515,0:01:45
15,train/val,1.500579860806465,1.1324218705296516,0.9203949689865112,0.4777031375674234,31.871552813935743,31.368737059106742,38.48907268609901,36.99918996584973,82.16912765184169,85.45395759309956,54.775724996892784,57.5834557360295,38.48907268609901,36.99918996584973,48.880520827116605,52.144344452195625,82.16912765184169,85.45395759309956,82.16912765184169,85.45395759309956,82.16912765184169,85.45395759309956,0.0009861093660315265,7.693112850189209,0:01:53
16,train/val,1.511052393913269,1.1277068942785262,0.9583637356758118,0.44607355292490974,33.45679960883485,31.371784448854108,39.2543244867706,36.97277445925414,83.31101951837702,85.7806932643576,55.81411742571506,51.7823912795135,39.2543244867706,36.97277445925414,51.014912078309216,55.80025636735459,83.31101951837702,85.7806932643576,83.31101951837702,85.7806932643576,83.31101951837702,85.7806932643576,0.0009851781189280512,7.398777961730957,0:02:00
17,train/val,1.406932106614113,1.0680370002985,0.8472377583384514,0.4488183217943039,37.46977396075411,33.16913291349516,44.80306776067589,38.726467406362666,84.39927047547685,86.29019453462953,56.44565185168041,56.29647636221452,44.80306776067589,38.726467406362666,53.103659650722555,51.8735572811033,84.39927047547685,86.29019453462953,84.39927047547685,86.29019453462953,84.39927047547685,86.29019453462953,0.0009842467740066847,7.730523347854614,0:02:08
18,train/val,1.424222281575203,1.089203527569771,0.8375468671321868,0.4501839871477127,36.95585445608946,33.200838558275045,43.31631152363207,38.86163405935494,84.24619783219957,86.19296438988944,58.03906276453908,59.5960642875295,43.31631152363207,38.86163405935494,56.34624309769831,55.36546823547654,84.24619783219957,86.19296438988944,84.24619783219957,86.19296438988944,84.24619783219957,86.19296438988944,0.000983315331154286,7.500356912612915,0:02:16
19,train/val,1.3585319176316262,1.0253963008522988,0.8328390114009381,0.4090559394894635,38.49141152838924,33.162161909080595,45.11680798243447,38.49906021766046,85.04127325951944,86.81256662173347,64.93264782399122,56.503302311662495,45.11680798243447,38.49906021766046,51.51497422934761,51.28082025934278,85.04127325951944,86.81256662173347,85.04127325951944,86.81256662173347,85.04127325951944,86.81256662173347,0.000982383790257464,7.132629871368408,0:02:23
20,train/val,1.3194844752550126,1.009026873111725,0.7761439763009548,0.42028043295971534,37.91137304227385,34.48151005650397,44.53919362252823,39.784619017299725,85.7698281377379,86.89042396803511,62.101216761471804,61.7349240701498,44.53919362252823,39.784619017299725,50.79401388115943,57.765029198936716,85.7698281377379,86.89042396803511,85.7698281377379,86.89042396803511,85.7698281377379,86.89042396803511,0.0009814521512025763,7.6362364292144775,0:02:30
21,train/val,1.3844369992613792,1.0473343804478645,0.8427565336227417,0.4149835483256732,38.36225062580454,35.12469057830969,44.873886423473984,40.71887531339441,84.56019944524489,86.79446426168057,64.6164064901615,60.65367507476292,44.873886423473984,40.71887531339441,54.925301849413465,59.03556155613563,84.56019944524489,86.79446426168057,84.56019944524489,86.79446426168057,84.56019944524489,86.79446426168057,0.000980520413875729,7.418752670288086,0:02:38
22,train/val,1.3802562788128854,1.0470828711986542,0.8329335018992424,0.4248284194771464,41.10725830123555,35.12205200246745,48.797808852380044,40.885307260064884,85.30971108559548,86.70513968331355,64.57389606959346,60.736463802238895,48.797808852380044,40.885307260064884,55.12485787112069,55.217902955991946,85.30971108559548,86.70513968331355,85.30971108559548,86.70513968331355,85.30971108559548,86.70513968331355,0.0009795885781627752,7.556429386138916,0:02:45
