frame_index,preprocess_ms,inference_ms,postprocess_ms,save_ms,total_ms,fps_equivalent
158,13.132,1462.163,2781.824,218.019,4475.173,0.22346
159,13.09,1308.756,3725.714,219.771,5269.068,0.18979
160,15.468,1429.728,2787.538,217.986,4450.756,0.22468
161,13.151,1732.676,3131.336,232.362,5111.246,0.19565
162,15.621,1464.395,2782.119,219.768,4481.938,0.22312
163,13.191,1428.651,2804.337,217.997,4465.905,0.22392
164,15.516,1584.785,2793.305,225.563,4619.204,0.21649
165,13.153,1353.512,2933.597,223.931,4525.931,0.22095
166,15.516,1473.231,2798.565,223.197,4510.545,0.2217
167,13.193,1362.535,3434.911,223.91,5036.208,0.19856
168,15.536,1488.183,2798.868,222.233,4524.854,0.221
169,13.289,1398.599,2822.816,226.142,4460.883,0.22417
170,13.204,1378.497,2783.227,224.068,4399.031,0.22732
171,13.44,1331.956,2824.545,223.589,4393.566,0.22761
172,13.227,1403.606,3498.607,221.74,5137.216,0.19466
173,13.124,1603.826,2787.046,220.942,4624.974,0.21622
174,13.201,1355.016,2818.219,229.057,4415.528,0.22647
175,16.58,1566.008,2791.768,222.963,4597.357,0.21752
176,13.197,1418.989,3451.158,225.334,5110.263,0.19568
177,15.697,1389.119,2777.837,228.235,4410.925,0.22671
178,13.217,1368.61,3381.362,226.371,4991.274,0.20035
179,15.551,1395.42,2771.134,225.412,4407.554,0.22688
180,13.261,1560.259,2799.961,235.139,4610.362,0.2169
181,15.415,1332.855,2785.319,221.613,4355.238,0.22961
182,13.254,1360.153,2867.391,222.407,4464.919,0.22397
183,15.481,1505.543,2781.908,221.676,4524.645,0.22101
184,13.21,1424.107,3165.349,221.627,4825.989,0.20721
185,15.425,1411.419,2778.703,223.659,4429.24,0.22577
186,13.248,1333.455,3253.832,223.201,4825.483,0.20723
187,15.388,1541.79,2785.38,225.301,4567.896,0.21892
188,13.267,1409.753,2814.491,223.868,4463.08,0.22406
189,15.418,1522.822,2783.857,222.652,4544.784,0.22003
190,13.356,1394.691,3443.999,223.453,5077.251,0.19696
191,15.427,1408.932,2784.49,222.136,4431.022,0.22568
192,13.287,1395.342,2800.796,228.965,4440.079,0.22522
193,15.409,1360.541,2762.426,221.922,4360.334,0.22934
194,13.213,1349.487,3172.694,224.573,4761.702,0.21001
195,15.455,1345.302,2767.758,224.086,4352.636,0.22975
196,13.165,1337.734,3479.645,223.921,5056.159,0.19778
197,15.451,1496.059,2773.157,227.267,4511.969,0.22163
198,13.22,1397.931,2795.476,228.587,4436.877,0.22538
199,15.525,1675.564,2779.635,227.931,4698.693,0.21283
200,13.222,1349.918,3453.716,232.371,5050.952,0.19798
201,15.466,1478.929,2786.832,229.934,4511.198,0.22167
202,13.167,1333.252,2812.402,227.413,4386.269,0.22798
203,13.186,1398.725,2775.424,226.804,4414.173,0.22654
204,13.787,1355.331,2808.76,231.401,4409.313,0.22679
205,13.215,1329.602,2769.728,224.759,4337.338,0.23056
206,13.266,1428.525,3062.791,228.185,4734.455,0.21122
