epoch,phase,train_total_loss,train_seg_loss,train_detail_loss,train_epnet_loss,train_miou,train_macc,train_aacc,val_total_loss,val_miou,val_macc,val_aacc,learning_rate,epoch_time_sec,total_training_time_str,train_Precision_Macro,train_Recall_Macro,train_F1_Macro,train_Precision_Micro,train_Recall_Micro,train_F1_Micro,val_Precision_Macro,val_Recall_Macro,val_F1_Macro,val_Precision_Micro,val_Recall_Micro,val_F1_Micro
36,train/val,3.2250270307064057,2.4311227083206175,0.7939043357968331,0.0,21.03795418143725,33.303692087830896,41.148021901886345,1.6589976340532302,17.04696518333178,28.360003505625663,35.10425523965125,0.00039225450954956495,11.40544581413269,0:06:57,32.033283071856395,33.303692087830896,30.75091912456238,58.304780113020385,58.304780113020385,58.304780113020385,27.58937226304386,28.360003505625663,24.229540206781554,51.96617260852734,51.96617260852734,51.96617260852734
37,train/val,3.2403163850307464,2.446569660305977,0.7937467411160469,0.0,21.19688947287895,32.99545625365668,43.3577578087688,1.609793907403946,18.224276203757565,30.51273447146496,42.2351650090242,0.00038804927004984616,11.39347791671753,0:07:08,34.502310177509635,32.99545625365668,30.643386790644396,60.488889435067215,60.488889435067215,60.488889435067215,27.390129416720992,30.51273447146496,26.182660991558322,59.38779626872801,59.38779626872801,59.38779626872801
38,train/val,3.1909221410751343,2.398459070920944,0.7924630776047706,0.0,22.868441660572937,36.10862568874148,43.508272762242505,1.7001005232334137,15.064400611462258,26.224731648075412,36.87241676223861,0.00038383896081427873,11.540655612945557,0:07:20,35.77962067354464,36.10862568874148,32.75187288571533,60.63521206798285,60.63521206798285,60.63521206798285,27.797530712090797,26.224731648075412,22.185701506420106,53.878520792527205,53.878520792527205,53.878520792527205
39,train/val,3.166440987586975,2.3754414677619935,0.7909995421767235,0.0,20.331802074949287,32.52710724930332,39.472629754789004,1.604536035656929,18.529625716063993,31.17951308446132,32.29684641773292,0.00037962351378936977,11.396231889724731,0:07:31,35.77937467888686,32.52710724930332,29.725961973073485,56.602689465577605,56.602689465577605,56.602689465577605,30.30350388605236,31.17951308446132,26.387828141421654,48.82481675451924,48.82481675451924,48.82481675451924
40,train/val,3.2411636829376222,2.4489245474338532,0.7922391131520271,0.0,20.84121571936096,30.77276737432701,45.569147453790535,1.5990432113409043,19.112426158855577,27.599330651789916,49.52597461041921,0.0003754028591560566,11.347447395324707,0:07:42,32.46638186802732,30.77276737432701,29.41468748125753,62.608249413916504,62.608249413916504,62.608249413916504,28.58930787990101,27.599330651789916,26.48748692664849,66.24397498756468,66.24397498756468,66.24397498756468
41,train/val,3.1803539752960206,2.386115366220474,0.7942385911941529,0.0,23.320044095225665,36.7366854015301,45.65502812645462,1.5744596719741821,20.36296769479326,32.50090791861078,48.012319200362974,0.0003711769252612405,11.365957975387573,0:07:54,41.34900990684198,36.7366854015301,33.346018162535714,62.68925791812403,62.68925791812403,62.68925791812403,29.91043978436832,32.50090791861078,27.683373917021566,64.87611228544986,64.87611228544986,64.87611228544986
42,train/val,3.1218129336833953,2.335891491174698,0.7859214618802071,0.0,21.832270457613873,35.14331912096708,44.65556966519955,1.6405341148376464,16.605695758354937,31.152491139865933,37.12756690439775,0.00036694563854576583,11.434504985809326,0:08:05,37.518788340124686,35.14331912096708,31.63586164109556,61.74054655282665,61.74054655282665,61.74054655282665,27.469669075701486,31.152491139865933,24.461448506951893,54.15040570257074,54.15040570257074,54.15040570257074
43,train/val,3.077578771114349,2.2896410912275313,0.7879376754164695,0.0,21.91430963138111,37.58966833808366,40.619184187219545,1.609845185279846,19.71547171881643,34.43377189849029,43.86952537386851,0.00036270892346860996,11.471560955047607,0:08:17,32.5091582629465,37.58966833808366,32.683373584244585,57.77189566558628,57.77189566558628,57.77189566558628,31.281484625828043,34.43377189849029,28.10746646948759,60.98515340182901,60.98515340182901,60.98515340182901
44,train/val,3.131396222114563,2.3467671155929564,0.7846291229128838,0.0,22.822280406729934,33.72038300683079,47.09557434345499,1.5659246116876602,18.860618272391434,30.770274427377874,37.62233074476218,0.0003584667024270332,11.52726936340332,0:08:28,35.07148373779752,33.72038300683079,32.37512238462681,64.03397866137162,64.03397866137162,64.03397866137162,31.224351331767313,30.770274427377874,27.500620353993643,54.674747246560585,54.674747246560585,54.674747246560585
45,train/val,3.104669636487961,2.3230285942554474,0.78164102435112,0.0,22.188986852203783,34.89845215904857,40.20252993904918,1.5600745677947998,23.090327001669973,33.124882449720026,47.5619533843935,0.00035421889567241785,11.446079730987549,0:08:40,33.3063636410407,34.89845215904857,31.697204258779628,57.34922181008658,57.34922181008658,57.34922181008658,35.79141470277626,33.124882449720026,32.26828769903235,64.46370801353699,64.46370801353699,64.46370801353699
46,train/val,3.0833366394042967,2.2985616594552996,0.7847749680280686,0.0,27.132078237478495,40.06073506890865,49.47116955349997,1.558962067961693,20.944063528222333,32.103623148095174,48.245767267305794,0.00034996542122150254,11.298412084579468,0:08:51,37.873638439621274,40.06073506890865,37.643979616053194,66.19493204111558,66.19493204111558,66.19493204111558,30.867473259591044,32.103623148095174,29.065031855080463,65.088896845618,65.088896845618,65.088896845618
47,train/val,3.043720453977585,2.2597946643829347,0.7839257821440697,0.0,25.714464823421253,39.298940159390014,46.42768295087474,1.539030486345291,21.48880679317826,32.67715244749478,46.08669872663773,0.00034570619476269494,11.363522052764893,0:09:02,40.84912688240729,39.298940159390014,37.33440474517116,63.4138053887677,63.4138053887677,63.4138053887677,33.01027667214241,32.67715244749478,29.739561851667812,63.09499650324317,63.09499650324317,63.09499650324317
48,train/val,3.0983145356178285,2.3158375531435014,0.7824769809842109,0.0,23.98378941670226,38.905521422855635,45.382224467639716,1.5010017246007918,22.46848560999123,36.111967808967336,43.74660725283715,0.0003414411295571176,11.415791511535645,0:09:14,36.186142783054315,38.905521422855635,34.93368451196241,62.43160005815048,62.43160005815048,62.43160005815048,33.08328396889988,36.111967808967336,30.964519592411303,60.86628142240723,60.86628142240723,60.86628142240723
49,train/val,3.0782044529914856,2.2996475487947463,0.7785568997263909,0.0,25.39761627716582,38.2838846587387,46.452943539508674,1.4888134747743607,21.79812707887313,32.48506808433616,51.999517993876346,0.00033717013633401425,11.516171216964722,0:09:25,39.79448727439252,38.2838846587387,36.39075141054217,63.43736413461303,63.43736413461303,63.43736413461303,34.98756392208854,32.48506808433616,30.653187187529518,68.42063538118754,68.42063538118754,68.42063538118754
50,train/val,3.0100681364536284,2.2325616449117662,0.7775064945220947,0.0,24.485615788967944,37.731732319220704,45.18390426973373,1.4936586946249009,19.064343390945986,29.426611500260346,42.84484599063396,0.0003328931231801116,11.47567892074585,0:09:37,38.14274297516595,37.731732319220704,35.6044188234549,62.24368258589826,62.24368258589826,62.24368258589826,31.82805839633541,29.426611500260346,27.69013325298822,59.98794803341131,59.98794803341131,59.98794803341131
51,train/val,4.537442523241043,2.258748558163643,0.7799461603164672,1.4987477958202362,23.96321907551168,37.43616465692244,46.965302144560376,1.5024673014879226,20.3878433487138,31.784621498641545,46.472420779736616,0.00032860999542249394,42.16281342506409,0:10:19,37.00751144033139,37.43616465692244,34.448862456528246,63.913456386274916,63.913456386274916,63.913456386274916,31.310196482352886,31.784621498641545,28.87553367231725,63.45552361645099,63.45552361645099,63.45552361645099
52,train/val,4.491993844509125,2.2742139637470244,0.7798727780580521,1.4379070192575454,28.78087091367445,41.097292896441196,51.265685496610836,1.4017843097448348,25.112350280441163,36.90132342156028,55.79540143910411,0.00032432065550451364,40.65119123458862,0:11:00,45.45601643726494,41.097292896441196,40.60915999704245,67.78230677804248,67.78230677804248,67.78230677804248,37.47986006565811,36.90132342156028,33.410295515177744,71.62650620456587,71.62650620456587,71.62650620456587
53,train/val,4.458368051052093,2.1964776635169985,0.7772837206721306,1.4846066534519196,27.814702615620796,43.098195727892566,47.40098744383502,1.4559535354375839,22.571360194543804,32.86540715806718,51.24116768153332,0.0003200250028542112,40.63944602012634,0:11:40,43.047718123680504,43.098195727892566,39.44039438749137,64.31569864740081,64.31569864740081,64.31569864740081,34.59767281744587,32.86540715806718,30.323421046248644,67.76087287216826,67.76087287216826,67.76087287216826
54,train/val,4.524224668741226,2.285861098766327,0.7809614226222038,1.457402119040489,27.832799290067513,41.72565071490927,46.215844578011406,1.394908568263054,27.131114150432715,38.78123099169626,57.13683516056067,0.00031572293374467766,40.79406809806824,0:12:21,42.71453424512914,41.72565071490927,39.40718980223976,63.21591850923324,63.21591850923324,63.21591850923324,37.70342700101247,38.78123099169626,36.973926338579155,72.72239523238315,72.72239523238315,72.72239523238315
