Epoch,Train_Total_Loss,Train_Main_Loss,Train_Aux_Loss,Validation_Loss,Train_mIoU,Validation_mIoU,Train_mAcc,Validation_mAcc,Train_aAcc,Validation_aAcc,Train_Precision_Macro,Validation_Precision_Macro,Train_Recall_Macro,Validation_Recall_Macro,Train_F1_Macro,Validation_F1_Macro,Train_Precision_Micro,Validation_Precision_Micro,Train_Recall_Micro,Validation_Recall_Micro,Train_F1_Micro,Validation_F1_Micro,Learning_Rate,Epoch_Time_sec,Cumulative_Training_Time
134,0.7359986612880158,0.6326341603274465,0.2584112502519284,0.177027019277215,80.01685075116481,76.77585404306227,86.82166195533753,84.43594030971884,96.25333618403603,95.80991981504093,90.33066040308752,88.47552986224117,86.82166195533753,84.43594030971884,88.48490917845936,86.16252853911108,96.25333618403603,95.80991981504093,96.25333618403603,95.80991981504093,96.25333618403603,95.80991981504093,0.0074708145235755745,268.83255553245544,10:03:06
135,0.7319531565395553,0.6305294238987912,0.25355933087539095,0.18016203767061234,79.46329259180199,73.55340548467139,86.32141148440854,81.32883547062598,96.28030701418714,95.67193579234366,90.04147580230622,87.81088336956294,86.32141148440854,81.32883547062598,88.08434184639106,83.6085355679229,96.28030701418714,95.67193579234366,96.28030701418714,95.67193579234366,96.28030701418714,95.67193579234366,0.007451681901682352,268.99320435523987,10:07:35
136,0.7288270345572746,0.6272550458645932,0.2539299707271023,0.19654742723703383,80.20421142271405,75.93617472967014,86.92180773287352,83.75117931982267,96.40448674874541,95.56881529789962,90.46323229847238,88.15599829459178,86.92180773287352,83.75117931982267,88.60853766502832,85.45160687743231,96.40448674874541,95.56881529789962,96.40448674874541,95.56881529789962,96.40448674874541,95.56881529789962,0.007432466326757986,269.5343163013458,10:12:05
137,0.7238664335665802,0.6253608223188621,0.24626402399567204,0.17189740309119225,80.66173659571012,76.29837822748212,87.34281584972109,84.06273177426542,96.47300002248002,95.87921165676737,90.6289827013602,88.31791625508224,87.34281584972109,84.06273177426542,88.90933108735875,85.7930869650761,96.47300002248002,95.87921165676737,96.47300002248002,95.87921165676737,96.47300002248002,95.87921165676737,0.007413245230339062,268.05850052833557,10:16:33
138,0.7326254286899131,0.6295221764907472,0.2577581284085455,0.18784702315926552,79.91895132501978,76.19476364839393,86.86905179221979,84.78963406023541,96.29981172327155,95.65450048412274,90.15453202381876,87.207861049001,86.86905179221979,84.78963406023541,88.43697595388652,85.70556581155459,96.29981172327155,95.65450048412274,96.29981172327155,95.65450048412274,96.29981172327155,95.65450048412274,0.007394018594922977,269.7578229904175,10:21:03
139,0.7295938164456707,0.6288011765912946,0.2519815976467803,0.18571171560883523,79.42133323128542,75.5239430734591,86.29572782889898,85.39562908966906,96.4005200108723,95.79458740880415,90.12351764562374,85.69373903133575,86.29572782889898,85.39562908966906,88.10484689975758,85.16822824839844,96.4005200108723,95.79458740880415,96.4005200108723,95.79458740880415,96.4005200108723,95.79458740880415,0.007374786402900873,270.8598096370697,10:25:33
140,0.730739199582089,0.6283965202971602,0.25585669448953713,0.19192031875252724,79.39440816743,75.5442469790848,86.27103018870062,84.25420703946304,96.354657687551,95.68228214862089,90.06730191727655,87.12876869125289,86.27103018870062,84.25420703946304,88.07538460185556,85.19859385624589,96.354657687551,95.68228214862089,96.354657687551,95.68228214862089,96.354657687551,95.68228214862089,0.007355548636556744,274.1563050746918,10:30:08
141,0.7304098346166027,0.6262873634645902,0.26030617215806556,0.17827813698351383,78.70483417747407,77.06174772911336,85.6591117863728,84.34109059029569,96.29596700750963,95.907145880894,89.8982883385569,88.78724830116774,85.6591117863728,84.34109059029569,87.66191724723734,86.25628879664878,96.29596700750963,95.907145880894,96.29596700750963,95.907145880894,96.29596700750963,95.907145880894,0.007336305278066434,271.7930746078491,10:34:39
142,0.723237685603669,0.6211069538117097,0.25532682816214264,0.1919521714001894,80.76474566265924,75.68837728143947,87.4208337925207,83.72865384835615,96.41546244307828,95.56621469602669,90.58289144090588,88.02858784292651,87.4208337925207,83.72865384835615,88.93067267586467,85.26403259047211,96.41546244307828,95.56621469602669,96.41546244307828,95.56621469602669,96.41546244307828,95.56621469602669,0.007317056309496658,272.7572867870331,10:39:12
143,0.7246162741674861,0.6244375252070328,0.2504468710382833,0.1837388707101345,80.0009742136192,75.98655413965565,86.55576818866588,85.42158111115947,96.4363190613883,95.66593471377652,90.57005870719411,86.20286152162505,86.55576818866588,85.42158111115947,88.45410597951529,85.59688276162575,96.4363190613883,95.66593471377652,96.4363190613883,95.66593471377652,96.4363190613883,95.66593471377652,0.007297801712804002,271.4403176307678,10:43:44
